#Expanded function
#Calculated using Holo_Multipol
#Intensity    Theta angle    Phi angle
0.302404 1145.92 13187.4
0.275045 1145.92 13525.6
0.277201 1145.92 13863.7
0.264296 1145.92 14201.8
0.256229 1145.92 14540
0.260526 1145.92 14878.1
0.287724 1145.92 15216.3
0.303597 1145.92 15554.4
0.291779 1145.92 15892.5
0.303355 1145.92 16230.7
0.327856 1145.92 16568.8
0.329268 1145.92 16907
0.310021 1145.92 17245.1
0.31809 1145.92 17583.2
0.301725 1145.92 17921.4
0.290208 1145.92 18259.5
0.294433 1145.92 18597.6
0.307673 1145.92 18935.8
0.30903 1145.92 19273.9
0.287906 1145.92 19612.1
0.281073 1145.92 19950.2
0.281032 1145.92 20288.3
0.397521 1260.51 0
0.399351 1260.51 307.858
0.397204 1260.51 615.716
0.392882 1260.51 923.574
0.389377 1260.51 1231.43
0.389352 1260.51 1539.29
0.393271 1260.51 1847.15
0.397867 1260.51 2155.01
0.399306 1260.51 2462.86
0.39684 1260.51 2770.72
0.392462 1260.51 3078.58
0.389191 1260.51 3386.44
0.389581 1260.51 3694.3
0.393755 1260.51 4002.15
0.39818 1260.51 4310.01
0.399223 1260.51 4617.87
0.396458 1260.51 4925.73
0.392052 1260.51 5233.58
0.389041 1260.51 5541.44
0.389849 1260.51 5849.3
0.394242 1260.51 6157.16
0.39846 1260.51 6465.02
0.399103 1260.51 6772.87
0.39606 1260.51 7080.73
0.391656 1260.51 7388.59
0.388928 1260.51 7696.45
0.390153 1260.51 8004.31
0.394727 1260.51 8312.16
0.398704 1260.51 8620.02
0.398947 1260.51 8927.88
0.39565 1260.51 9235.74
0.391276 1260.51 9543.6
0.388854 1260.51 9851.45
0.390491 1260.51 10159.3
0.395205 1260.51 10467.2
0.39891 1260.51 10775
0.398757 1260.51 11082.9
0.395229 1260.51 11390.7
0.390914 1260.51 11698.6
0.388819 1260.51 12006.5
0.390861 1260.51 12314.3
0.395673 1260.51 12622.2
0.399079 1260.51 12930
0.398534 1260.51 13237.9
0.3948 1260.51 13545.7
0.390574 1260.51 13853.6
0.388825 1260.51 14161.5
0.391259 1260.51 14469.3
0.396126 1260.51 14777.2
0.399208 1260.51 15085
0.398281 1260.51 15392.9
0.394367 1260.51 15700.8
0.390256 1260.51 16008.6
0.388872 1260.51 16316.5
0.391681 1260.51 16624.3
0.39656 1260.51 16932.2
0.399298 1260.51 17240
0.397999 1260.51 17547.9
0.393933 1260.51 17855.8
0.389965 1260.51 18163.6
0.388961 1260.51 18471.5
0.392125 1260.51 18779.3
0.396973 1260.51 19087.2
0.399348 1260.51 19395
0.39769 1260.51 19702.9
0.393499 1260.51 20010.8
0.389702 1260.51 20318.6
0.279808 1375.1 0
0.303747 1375.1 282.555
0.314351 1375.1 565.109
0.336958 1375.1 847.664
0.311285 1375.1 1130.22
0.277857 1375.1 1412.77
0.308526 1375.1 1695.33
0.31999 1375.1 1977.88
0.305395 1375.1 2260.44
0.288602 1375.1 2542.99
